kill	kill, Killer, Kill, killer, killing
be	
find	Finder, find, function, following, Find
eat	eater, egg, Egg, edible, eat
marry	marriage
bite	bite, bug, beetle, Bite
get	GET, get, Get
shoot	shotgun, sniper, shooter, shot
become	
meet	meeting, meet, match
fight	fight, fighter
catch	catch, Catch, catcher, cat, catching
hit	hit, Hit
hurt	hurt
infect	infection, infect, infected, item
make	maker
beat	block, beat, boss
destroy	destroyer, destruction, destructive, destroy, Destruction, Destroyer
need	need, needs, Need, necessity, NEED, needed, necessary
punch	punch, Punch, punching, punched
have	have, has
tell	tell
attack	attack, attacker, action, Attack, array, alert
help	helper, help, Help, helpful, helpers
kick	kick, Kick, kicker, kicking, kicks, Ki
stop	stop, Stop, STOP, start
know	knowledge
teach	teacher, Teacher
save	save, Save, saving, saved, saves
stab	stab, stabbing, slash, sword, spear, Stab
kiss	kiss, kissing, Kiss, kissed, kisses
take	tree, transaction, take
follow	following, function, follow, first
crush	crush, crushing, Crush, Crusher
see	see, symbol
do	
create	constructor, class, component, creation, child, creator
miss	miss, mistake, missing, missed
murder	murder, murderer, monster, Murder
hate	hate, hatred, Hate, hates
join	join, joining, Join, joins
love	love, Love, lover, loving, LOVE, loves
strike	strike, sword, Strike
steal	steal, Steal, stole, stealing, stolen
replace	replacement, replace, return, Replacement, Replace
visit	visitor, visit, Visit
hire	hire, HR, hiring
break	break, block, bug, broken, breaker, Break
haunt	haunt, haunting, haunted
fuck	fuck, Fuck, FUCK, function
feed	feed, Feed, feeding, function, food
defeat	defeat, defense
write	write
ask	ask, answer, Ask, argument, asking
like	like, Like, liking, LIKE, likes
notice	notice, Notice, notification, note
call	callback, call, class, caller, constructor
drive	drive, driver, disk, Driver
recognize	recognition, result
lose	loss, loser, lose
pick	pick, Pick
train	train, trainer, Train, Trainer, task, training
hunt	hunt, Hunter, hunter, Hunt, hunting, hunted, hunters
slap	slap, slash, smack, splash
charm	charm, Charm, charms
assassinate	assassin, assassination, attack, Assassin, agent, arrow, axe, amulet
sue	suit, Suit, sue
chase	chase, catch
block	block, blocker, Block, blocking, blocks
face	face, Face, facing, facial, faces
challenge	challenge, Challenge, challenging, challenges, challenger
injure	injury, item, injure, insult
play	play, player, party, Player
choose	choice, Choice
start	start, Start, starter, stop, startup
touch	touch, Touch, toy
buy	buy, Buy, buyer
fire	fire, Fire
serve	service, server, Service, soup, serve
warn	warning, warn, Warning, WARNING, WARN, warnings
kidnap	kidnapping, kidnap
betray	betrayal, betray
leave	leave, list, loop, last
want	want, wish, Want, wants, wanted, wanting
rob	robber, rob, robbery, robbing, robot, robbers
date	date, Date, dates
inform	item, inform, index, information
confront	confrontation, challenge, confront, conflict
hug	hug, Hug, hugging, hugs, handshake
invite	invite, invitation, inviting, invites, invited, item, invitations
grab	grab, Grab
affect	affect, action
cross	cross, crossing, cursor
nail	nail
attract	attract, attraction, attracting, attack
swallow	swallow, sponge, spoon, sandwich, sink
rape	rape, rapist, Rape
encounter	encounter, entity, event, encounters, Encounter, enemy
provoke	provocation, provoke, prank, prompt
cut	cut, cutter, cutting, Cut, cuts